"Time.Steps.After.Leaving","Change.In.Outgroup.Suspicion"
1,0.000928650426624112
2,-0.011210232277846
3,0.00637422449672959
4,0.00718426685005056
5,0.00342172468149854
6,-0.00554703329488569
7,0.00730882578105177
8,-0.000986548977229314
9,-0.0012757637441113
10,0.00591181277045956
11,-0.013101364545612
12,-0.00174375444951993
13,0.00552911537768879
14,-0.0160394634148074
15,-0.0144249935898318
16,-0.0159976704898947
17,-0.0165796036930109
18,-0.00293060241977792
19,0.00583006533322319
20,-0.0130996841533484
21,0.000457577890004721
22,2.32137727541749e-05
23,-0.0151213362534433
24,-0.0213809260084907
25,-0.0164099639945962
26,-0.0165380235645414
27,-0.0065286066911022
28,-0.0246375180159413
29,-0.0244395336170005
30,-0.00777255218884853
31,-0.00353066304813822
32,-0.0068750070380822
33,-0.0309309831612157
34,-0.0321157134475637
35,-0.0209704707784776
36,-0.0348872140878339
37,-0.0288076119450718
38,-0.0220795846891361
39,-0.0223761568428737
40,-0.0469175567202617
41,-0.0315919597004117
42,-0.0510225870706398
43,-0.0462181877161649
44,-0.0575739019772481
45,-0.0514087026006846
46,-0.049810253084928
47,-0.0448620784348628
48,-0.0528523034576932
49,-0.068577801619426
50,-0.0709299446855838
51,-0.0767773924950505
52,-0.0747883189316081
53,-0.0695352854388549
54,-0.0732832510118215
55,-0.0758861549915047
56,-0.0763777318316027
57,-0.0762074718862186
58,-0.102211896718899
59,-0.102885108829198
60,-0.085396525322118
61,-0.108476816750076
62,-0.0925846006037732
63,-0.0972961181900078
64,-0.095476275344025
65,-0.105677498904487
66,-0.107488366073379
67,-0.125607382289733
68,-0.123210927095846
69,-0.122742296055974
70,-0.112373383142949
71,-0.131489490306381
72,-0.134344389417973
73,-0.120828257581682
74,-0.13690305704906
75,-0.130490977308363
76,-0.126488553350607
77,-0.137799707237762
78,-0.121923563116449
79,-0.118235119662668
80,-0.130977942347112
81,-0.121393083393364
82,-0.132135976797271
83,-0.135518299455703
84,-0.138446522918884
85,-0.132438764696169
86,-0.144462858166907
87,-0.126222779271522
88,-0.142867184647408
89,-0.130136247129496
90,-0.132669649346399
91,-0.126060909483684
92,-0.142556976249656
93,-0.148519604562603
94,-0.131197414987587
95,-0.124921353541932
96,-0.143562404010129
97,-0.134444882531273
98,-0.136118031793384
99,-0.147387237705349
100,-0.148519643046934
101,-0.12787900528738
